id	name	en	fr	de	es	ru	pt	zh	ja
0	e_loc_null	NULL	VIDE	NULL	NADA	NULL	NULL	无	ゼロ
1	e_loc_upp_volume	VOLUME	VOLUME	LAUTSTÄRKE	VOLUMEN	ГРОМКОСТЬ	VOLUME	音量	ボリューム
2	e_loc_upp_self_destruct_in	SELF DESTRUCT IN	AUTO-DESTRUCTION DANS	SELBSTZERSTÖRUNG IN	AUTODESTRUCCIÓN EN	САМОУНИЧТОЖЕНИЕ ЧЕРЕЗ	AUTODESTRUIR EM	自毁倒计时	自滅
3	e_loc_upp_carrier	CARRIER	TRANSPORTEUR	TRÄGER	PORTAVIONES	АВИАНОСЕЦ	PORTA-AVIÕES	航母	航空母艦
4	e_loc_upp_crr	CRR	CRR	TRG	PRT	АВЦ	PAV	航母	空母
5	e_loc_upp_logistics_carrier	-	TRANSPORTEUR LOGISTIQUE	LOGISTIKSCHIFF	CARGUERO LOGÍSTICO	#LOGISTICS CARRIER#	PORTA-AVIÕES DE LOGÍSTICA	航母后勤	物流用航空母艦
6	e_loc_upp_seal	SEAL	PHOQUE	SEAL	FOCA	ТЮЛЕНЬ	FOCA	海豹	アシカ
7	e_loc_upp_sel	SEL	PHQ	SEL	FOC	ТЮЛ	FOC	海豹	アシカ
8	e_loc_upp_light_scout_vehicle	LIGHT SCOUT VEHICLE	VÉHICULE ÉCLAIREUR LÉGER	LEICHTES SPÄHFAHRZEUG	VEHÍCULO DE EXPLORACIÓN LIGERO	ЛЕГКАЯ КОЛЕСНАЯ ПЛАТФОРМА	VEÍCULO DE VARREDURA LEVE	轻型侦察载具	軽量偵察用装甲車
9	e_loc_upp_walrus	WALRUS	MORSE	WALRUS	MORSA	МОРЖ	MORSA	海象	セイウチ
10	e_loc_upp_wlr	WLR	MRS	WLR	MRS	МРЖ	MRS	海象	セイウチ
11	e_loc_upp_all_purpose_vehicle	ALL PURPOSE VEHICLE	VÉHICULE TOUT TERRAIN	MEHRZWECKFAHRZEUG	VEHÍCULO MULTIFUNCIÓN	СРЕДНЯЯ КОЛЕСНАЯ ПЛАТФОРМА	VEÍCULO VERSÁTIL	通用载具	多目的機
12	e_loc_upp_bear	BEAR	OURS	BEAR	OSO	МЕДВЕДЬ	URSO	熊	クマ
13	e_loc_upp_ber	BER	OUR	BER	OSO	МЕД	URS	熊	クマ
14	e_loc_upp_heavy_platform	HEAVY PLATFORM	PLATEFORME LOURDE	SCHWERE PLATTFORM	PLATAFORMA PESADA	ТЯЖЕЛАЯ ГУСЕНЕЧНАЯ ПЛАТФОРМА	PLATAFORMA PESADA	重型平台	重基盤
15	e_loc_upp_albatross	ALBATROSS	ALBATROS	ALBATROSS	ALBATROS	АЛЬБАТРОС	ALBATROZ	信天翁	アルバトロス
16	e_loc_upp_alb	ALB	ALB	ALB	ALB	АЛБ	ALB	信天翁	アルバトロス
17	e_loc_upp_scout_wing_aircraft	SCOUT WING AIRCRAFT	AVION SCOUT	AUFKLÄRUNGSFLUGZEUG	AVIÓN DE EXPLORACIÓN	ДРОН-РАЗВЕДЧИК	AERONAVE SCOUT WING	固定翼侦察机	偵察航空機
18	e_loc_upp_manta	MANTA	MANTA	MANTA	MANTA	МАНТА	ARRAIA	魔鬼鱼	マンタ
19	e_loc_upp_mnt	MNT	MNT	MNT	MNT	МНТ	ARR	魔鬼鱼	マンタ
20	e_loc_upp_fast_jet_aircraft	FAST JET AIRCRAFT	JET RAPIDE	JET	JET RÁPIDO	ДРОН-ИСТРЕБИТЕЛЬ	AERONAVE DE CAÇA	高速喷气机	高速ジェット機
21	e_loc_upp_razorbill	RAZORBILL	PINGOUIN	RAZORBILL	RAZORBILL	ГАГАРКА	TORDA	海雀	ウミガラス
22	e_loc_upp_rzr	RZR	PGN	RZR	RZR	ГРК	TRD	海雀	ウミガラス
23	e_loc_upp_light_rotor	LIGHT ROTOR	ROTOR LÉGER	LEICHTER HUBSCHRAUBER	HELICÓPTERO LIGERO	ЛЕГКИЙ ВЕРТОЛЕТ	ROTOR LEVE	轻型旋翼机	軽量ドローン
24	e_loc_upp_petrel	PETREL	PÉTREL	PETREL	PETREL	БУРЕВЕСТНИК	PETREL	海燕	ウミツバメ
25	e_loc_upp_ptr	PTR	PTR	PTR	PETR	БРВ	PTR	海燕	ウミツバメ
26	e_loc_upp_heavy_lift_rotor	HEAVY LIFT ROTOR	ROTOR DE LEVAGE LOURD	SCHWERER HUBSCHRAUBER	HELICÓPTERO PESADO	ТЯЖЕЛЫЙ ГРУЗОВОЙ ВЕРТОЛЕТ	ROTOR DE ELEVAÇÃO PESADO	载重旋翼机	重量物運搬ドローン
27	e_loc_upp_barge	BARGE	BARGE	BARKE	BARCAZA	БАРЖА	BARCAÇA	驳船	将官艇
28	e_loc_upp_brg	BRG	BRG	BRG	BRC	БРЖ	BRC	驳船	将官艇
29	e_loc_upp_support_barge	SUPPORT BARGE	BARGE DE SOUTIEN	BARKE	BARCAZA DE APOYO	БАРЖА СНАБЖЕНИЯ	BARCAÇA DE APOIO	支援驳船	援護用将官艇
30	e_loc_upp_turret	TURRET	TOURELLE	GESCHÜTZTURM	TORRETA	БАШНЯ	TORRE	炮塔	砲塔
31	e_loc_upp_trt	TRT	TRL	TRT	TRT	БШН	TRR	炮塔	砲塔
32	e_loc_upp_stationary_turret	STATIONARY TURRET	TOURELLE STATIONNAIRE	STATIONÄRGESCHÜTZ	TORRETA MONTADA	СТАЦИОНАРНАЯ ТУРЕЛЬ	TORRE ESTACIONÁRIA	固定炮塔	固定型砲塔
33	e_loc_upp_control_bot	VIRUS BOT	VIRUS BOT	VIRUSBOT	BOT CON VIRUS	ВИРУСНЫЙ БОТ	BOT VIRAL	病毒机器人	ウイルスボット
34	e_loc_upp_bot	BOT	BOT	BOT	BOT	БОТ	BOT	机器人	ボット
35	e_loc_upp_unknown	UNKNOWN	INCONNU	UNBEKANNT	DESCONOCIDO	НЕОПОЗНАН	DESCONHECIDO	未知	不明
36	e_loc_upp_30mm_cannon	30MM CANNON	CANON 30 MM	30-MM-KANONE	CAÑÓN DE 30 MM	ПУШКА 30мм	CANHÃO 30 MM	30毫米炮	30MM機関砲
37	e_loc_upp_100mm_cannon	BATTLE CANNON	CANON DE COMBAT	KAMPFKANONE	CAÑÓN DE BATALLA	ТАНКОВАЯ ПУШКА	CANHÃO DE BATALHA	战斗火炮	戦闘用機関砲
38	e_loc_upp_artillery_gun	ARTILLERY GUN	CANON D'ARTILLERIE	ARTILLERIEGESCHÜTZ	ARTILLERÍA	АРТИЛЛЕРИЙСКАЯ ПУШКА	ARMA DE ARTILHARIA	炮兵大炮	大砲
39	e_loc_upp_naval_gun	NAVAL GUN	CANON NAVAL	SCHIFFSGESCHÜTZ	CAÑÓN NAVAL	#	ARMA NAVAL	舰炮	艦砲
40	e_loc_upp_20mm_auto_cannon	20MM AUTO CANNON	CANON AUTO 20 MM	20-MM-MK	CAÑÓN AUTO. 20 MM	АВТОПУШКА 20мм	CANHÃO AUT. 20 MM	20毫米自动炮	20MM自動機関砲
